object_id,name,category,train_freq,rot_sym,rot_naive,trans_cm,size_rel
1992,green_bean_cake_013,green_bean_cake,56,81.2043,180.0000,23.3508,0.1082
4835,toy_bus_007,toy_bus,76,112.4955,112.4955,10.5325,0.0967
1661,durian_006,durian,78,104.1416,104.1416,2.6911,0.0265
3383,pineapple_013,pineapple,128,2.8617,161.5668,0.6803,0.0175
1129,china_001,china,90,6.1071,6.1071,1.5793,0.0240
3245,peanut_031,peanut,67,51.5791,166.1076,18.7165,0.0501
4550,thimble_009,thimble,49,174.0555,179.1206,5.4485,0.0993
3644,potato_036,potato,63,42.0801,42.0801,16.1369,0.0282
1310,corn_011,corn,46,10.4276,170.2168,2.5360,0.0193
4857,toy_bus_029,toy_bus,79,135.6155,135.6155,11.9375,0.0483
4550,thimble_009,thimble,49,34.7451,133.7866,3.4582,0.0464
626,bread_190,bread,102,46.0369,46.0369,5.3238,0.0274
5138,waffle_023,waffle,37,27.9837,162.9108,18.4035,0.1003
3378,pineapple_008,pineapple,86,4.4983,151.6792,0.9841,0.0448
3564,pomegranate_049,pomegranate,96,162.3488,171.5923,2.2762,0.0055
4074,shoe_015,shoe,101,177.3824,177.3825,37.3140,0.0355
610,bread_174,bread,87,105.4668,105.4668,24.9653,0.0504
4506,teapot_016,teapot,108,16.1197,16.1197,0.5209,0.0181
4499,teapot_009,teapot,119,3.2681,3.2681,6.0506,0.0337
1965,glasses_case_019,glasses_case,90,135.4084,135.4084,9.4336,0.0753
1277,conch_007,conch,44,171.5166,171.5166,22.4979,0.0270
1307,corn_008,corn,70,4.2142,12.8782,3.0915,0.0097
3286,pen_004,pen,55,35.7812,79.0384,3.4877,0.0394
343,book_022,book,71,5.0019,5.0019,17.8709,0.0510
3866,ricecooker_003,ricecooker,97,29.2130,29.2130,5.5320,0.0212
221,banana_039,banana,35,21.9651,21.9651,9.1801,0.0176
610,bread_174,bread,87,119.4935,119.4935,6.0216,0.0404
1408,dice_007,dice,65,87.2551,164.9113,4.5983,0.0252
1475,doll_007,doll,76,30.4583,30.4583,1.8510,0.0213
1307,corn_008,corn,70,3.4059,25.3965,3.0493,0.0077
1947,glasses_case_001,glasses_case,105,5.8746,5.8746,6.2543,0.0255
4275,steamed_bun_022,steamed_bun,69,10.8083,96.6414,3.3403,0.0296
4359,sushi_011,sushi,103,41.9804,41.9804,6.2914,0.0847
44,apple_007,apple,95,171.1602,172.4280,2.3407,0.0096
718,brussels_sprout_004,brussels_sprout,45,75.5456,175.2949,7.8989,0.0195
5093,umbrella_013,umbrella,101,2.3923,52.2334,1.5842,0.0255
1485,doll_017,doll,45,25.2852,25.2852,6.2623,0.0858
742,bucket_noodle_011,bucket_noodle,113,4.2775,41.3064,4.1258,0.0163
1204,clock_024,clock,73,99.5284,99.5284,3.8584,0.0250
2247,hat_022,hat,57,135.8512,135.8512,18.3021,0.0922
4275,steamed_bun_022,steamed_bun,69,10.6738,35.1209,0.5720,0.0427
